Date,LTP,Open,High,Low,Quantity,Score
7/13/2011,266.211212,263.888885,266.73172,256.881897,5263100,-0.037666667
7/14/2011,269.939941,269.369354,273.798798,268.293304,6015700,-0.003933962
7/15/2011,264.684692,271.021027,272.282288,264.114105,4522000,-0.150176596
7/16/2011,264.014008,268.2883,268.918915,259.964966,5807300,0.0264
7/17/2011,257.777771,260.365356,262.262268,257.447449,5441700,0.21295
7/18/2011,248.008011,255.180176,256.256256,247.747742,8939800,0.036104545
7/19/2011,251.201202,245.260254,251.97197,240.540543,8309200,0.013459091
7/20/2011,252.6026,248.423416,254.15416,240.625626,9059100,0.196609091
7/21/2011,257.61261,254.003998,257.872864,251.551544,6841700,-0.117728571
7/22/2011,257.81781,258.673676,260.510498,255.405411,5706000,0.122491667
7/23/2011,268.853851,262.852844,269.003998,261.861847,4639700,0.1702
7/24/2011,271.861847,266.997009,273.673676,266.997009,5701000,-0.1366
7/25/2011,274.524536,274.339325,277.892883,272.587585,6349200,0.062581081
7/26/2011,279.77478,275.290283,279.779785,274.284271,11363800,0.007920833
7/27/2011,296.136139,300.035034,300.100098,294.079071,17042700,0.012123077
7/28/2011,291.49649,292.152161,296.211212,289.289276,8008300,0.08812
7/29/2011,295.550537,290.385376,296.576569,288.988983,7593900,0.0463875
8/01/2011,290.640656,293.963959,296.326324,289.899902,5857100,0.0431
8/02/2011,292.127136,291.241241,294.739746,290.045044,6751200,0.05904
8/03/2011,295.540527,295.050049,296.671661,293.643646,6775200,0.076173077
8/04/2011,298.508514,293.653656,300.285278,293.543549,6846900,-0.001505882
8/05/2011,291.871857,296.846832,297.797791,291.716705,5075900,0.0464
8/06/2011,293.448456,295.070068,295.385376,286.716705,5740400,0.036925
8/08/2011,299.634644,299.509521,301.651642,296.94696,7553000,0.077985714
8/09/2011,300.370361,297.557556,301.451447,297.422424,5010900,0.015
8/10/2011,296.616608,297.842834,300.145142,296.131134,5110400,0.0549
8/11/2011,289.614624,290.340332,293.048035,288.663666,6243900,-0.13104
8/12/2011,292.702698,292.742737,294.274261,290.530518,4237500,0
8/15/2011,299.049042,293.793793,299.049042,292.152161,5334200,-0.046642857
8/16/2011,298.368378,297.047058,300.170166,296.511505,5663900,-0.105466667
8/17/2011,304.469482,296.95697,304.694702,296.411407,6708000,-0.21075
8/18/2011,306.476471,304.80481,307.492493,302.102112,6052700,-0.2764
8/19/2011,300.775787,302.432434,305,299.629639,7414500,0
8/24/2011,297.83783,303.26828,303.27829,296.07608,5731000,-0.3404
8/26/2011,304.479492,300.950958,306.351349,299.599609,7946000,0
8/31/2011,306.806793,304.304291,309.349335,304.194183,6371000,0.7906
9/01/2011,308.588593,306.706696,309.349335,305.555542,5346600,0.29415
9/04/2011,306.041046,306.346344,309.459473,305.610596,5211700,0
9/07/2011,300.735748,305.330322,306.451447,298.68869,6979600,0.05695
9/08/2011,297.737732,301.3013,302.552551,297.17218,6568800,0
9/09/2011,290.760773,294.174164,294.544556,286.331329,5996500,0
9/13/2011,290.290283,290.290283,292.777771,287.907898,4805700,0.20095
9/18/2011,285.340332,287.962952,290.415405,285.340332,4646900,0
9/23/2011,281.781769,282.877869,287.422424,280.945953,3121600,0.3089
9/28/2011,294.389404,289.974976,294.704712,288.538544,5652100,0
10/10/2011,291.756744,294.234222,295.475464,290.955963,3659900,0.4404
10/11/2011,299.994995,299.274261,300.055054,296.341339,6787200,0
10/13/2011,307.1922,300.300293,308.308319,299.799805,7233900,0
10/14/2011,310.490479,308.833832,312.312317,308.438446,8163200,0
10/18/2011,313.138153,314.134125,316.266266,311.511505,6388600,0
10/22/2011,312.197205,311.806793,314.624634,310.43042,4648300,-0.0516
10/24/2011,312.007019,311.151154,313.143158,309.359344,4510000,-0.3818
10/26/2011,308.333344,310.830841,314.039032,307.957947,4821300,0
10/27/2011,314.024017,309.309296,314.879883,308.813812,5526800,0
11/08/2011,313.007996,311.251251,313.403412,310.455444,4363400,0.1204
11/09/2011,313.128143,314.694702,318.598602,311.736725,8048300,-0.6597
11/16/2011,309.34433,311.236237,312.472473,306.551544,7799500,0.4404
11/17/2011,310.080078,311.571564,312.312317,309.654663,4812300,0.4215
11/21/2011,313.293304,312.472473,314.974976,311.046051,8909600,0
12/01/2011,311.226227,314.319305,314.564575,310.310303,4282700,0
12/02/2011,315.500488,314.314301,316.236237,314.309296,4771600,-0.2732
12/06/2011,313.223236,315.320313,316.226227,309.789795,4990800,-0.5994
12/09/2011,315.165161,314.289276,316.181183,313.818817,3640900,0
12/16/2011,316.886902,316.316315,317.657654,315.595581,2904400,0
1/09/2012,320.445435,316.341339,322.567566,316.316315,3209500,0
1/12/2012,320.170166,321.696686,322.822815,319.369354,4250100,0
1/13/2012,321.521515,321.066071,321.821808,317.917908,3147600,0
1/14/2012,323.273285,321.331329,323.703705,321.331329,3561000,-0.875
1/17/2012,333.038025,326.796783,334.409424,326.511505,7345600,0
1/19/2012,334.474487,332.847839,335.460449,330.640656,5722200,-0.1909
1/20/2012,329.834839,331.396393,332.317322,328.443451,6559200,0
1/22/2012,325.335327,329.904907,330.330322,325.220215,5380400,0
1/23/2012,311.541534,323.573578,323.823822,310.925934,11633500,-0.128
2/01/2012,311.881897,315.190186,317.217224,308.763763,8782400,0
2/02/2012,313.293304,312.062073,315.01001,310.87088,4795200,0.4215
2/10/2012,315.135132,315.925934,316.761749,313.563568,3746600,0.1352
2/13/2012,312.8078,313.443451,313.788788,310.840851,4609900,0
2/14/2012,314.604614,316.306305,316.306305,313.153168,3814700,0
2/16/2012,316.771759,313.628632,317.317322,311.371368,5517800,0.5859
2/19/2012,320.105103,320.815826,320.815826,316.046051,12597900,0
2/23/2012,293.2883,295.560547,295.795807,291.141144,21131400,0
2/24/2012,293.05304,293.293304,294.624634,291.871857,6818900,-0.6249
2/27/2012,290.755768,293.453461,294.134125,289.289276,6105400,0
2/28/2012,285.030029,289.044037,289.644653,283.47348,9965400,0.4939
2/29/2012,284.33432,286.276276,287.527527,282.557556,6445900,0.2263
3/01/2012,290.280273,285.67569,290.450439,284.949951,7227700,0
3/06/2012,289.134125,289.314301,290.290283,286.987,4656300,-0.296
3/08/2012,290.345337,291.791779,292.292297,287.862854,4280500,-0.8442
3/09/2012,290.705719,292.762756,293.04303,289.859863,4636700,0
3/26/2012,292.847839,292.727722,293.498505,291.331329,4824500,-0.2732
3/28/2012,298.46347,295.625641,298.833832,294.319305,6330600,-0.4404
3/29/2012,304.849854,297.802795,305.720734,297.302307,7351800,-0.1044
4/05/2012,303.68869,303.878876,305,302.18219,4180000,0.0772
4/11/2012,305.230225,304.624634,305.980988,302.672668,3669100,0.1779
4/12/2012,306.036041,306.316315,307.557556,304.80481,4524800,-0.25
4/13/2012,303.25827,304.244232,304.369354,302.302307,4645700,0.0516
4/16/2012,306.406403,305.555542,307.227234,305.315308,3628900,0
4/17/2012,305.185181,306.07608,306.306305,302.682678,3603700,0
4/19/2012,303.083069,306.771759,306.771759,301.581573,4846900,0
4/24/2012,303.563568,301.7117,304.709717,299.164154,5056700,0
4/26/2012,302.62262,302.787781,304.11911,301.501495,4893300,0.4588
4/30/2012,307.307312,302.237244,309.249237,301.74173,4956600,-0.148
5/03/2012,304.274261,306.286285,308.6987,303.658661,3930000,0
5/04/2012,303.358368,303.803802,304.274261,300.475464,4105800,-0.0129
5/07/2012,305.255249,303.978973,306.131134,303.058044,3867300,0
5/10/2012,304.959961,303.598602,306.486481,302.832825,3624100,0.0772
5/15/2012,309.504517,305.305298,310.19519,304.144135,5689500,0.2202
5/16/2012,309.434448,309.609619,313.113098,308.058044,6267500,0
5/19/2012,311.511505,311.441437,313.163177,309.384399,4470900,0.43095
5/22/2012,310.935944,311.31131,312.312317,310.470459,3143400,0
5/23/2012,307.432434,310.525513,311.556549,305.996002,3183400,-0.4741
5/29/2012,302.782776,304.329315,304.709717,297.217224,6342400,0.3182
6/01/2012,303.703705,304.829834,305.900909,303.233246,2526400,0.4767
6/04/2012,303.873871,305.325317,306.056061,303.478485,2688300,0
6/07/2012,300.425415,304.279266,306.256256,300.300293,5335800,-0.5106
6/11/2012,302.877869,300.300293,303.803802,299.929932,3334600,0.081466667
6/18/2012,309.199188,304.679688,309.234222,303.078064,4487100,-0.4215
6/23/2012,308.303314,307.8078,311.701691,307.037048,5867900,0
6/27/2012,310.875885,308.608612,312.062073,307.722717,4865300,0
7/02/2012,312.832825,310.755768,313.26828,310.335327,6094800,-0.36755
